,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
38,Genetic2Generated,ID:38,ByteEnumField,ByteEnumField,MayEnd,IntField,ShortField,XIntField,StrLenField,XShortField,LongField,LongField,LongField,XIntField,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Genetic2Generated,ID:39,FieldListField,FieldListField,FieldListField,FieldListField,FieldListField,FieldListField,BitField,FieldListField,FieldListField,FieldListField,FieldListField,FieldListField,FieldListField,FieldListField,FieldListField,FieldListField,FieldListField,FieldListField,FieldListField,FieldListField,FieldListField,FieldListField,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Genetic2Generated,ID:40,FieldListField,LongField,MayEnd,MayEnd,BitField,BitField,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Genetic2Generated,ID:41,LongField,PadField,FieldLenField,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Genetic2Generated,ID:42,ByteEnumField,ByteEnumField,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Genetic2Generated,ID:43,XByteField,XBitField,ByteField,ByteField,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Genetic2Generated,ID:44,StrLenField,ShortEnumField,StrLenField,SignedIntField,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Genetic2Generated,ID:45,XNBytesField,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Genetic2Generated,ID:46,IntEnumField,IntEnumField,IntEnumField,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Genetic2Generated,ID:47,XShortField,SignedIntField,ShortEnumField,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Genetic2Generated,ID:48,PadField,XBitField,XBitField,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Genetic2Generated,ID:49,UUIDField,ByteField,ByteField,ByteField,ByteField,SignedIntField,SignedIntField,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Genetic2Generated,ID:50,EnumField,XByteField,XShortField,XByteField,IntEnumField,FlagsField,IntEnumField,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Genetic2Generated,ID:51,XBitField,BitEnumField,BitEnumField,BitEnumField,FieldListField,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Genetic2Generated,ID:52,BitField,MayEnd,StrLenField,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Genetic2Generated,ID:53,FlagsField,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Genetic2Generated,ID:54,LongField,PadField,XIntField,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Genetic2Generated,ID:55,StrLenField,EnumField,MayEnd,MayEnd,StrLenField,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Genetic2Generated,ID:56,LenField,SignedIntField,LenField,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Genetic2Generated,ID:57,ByteEnumField,MayEnd,MACField,Field,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Genetic2Generated,ID:58,IntField,IntField,ByteField,ByteField,ByteField,ByteField,BitField,ByteField,ByteField,ByteField,ByteField,ByteField,ByteField,IntField,IntField,IntField,ByteField,ByteField,ByteField,ByteField,IntField,IntField,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Genetic2Generated,ID:59,UUIDField,ByteField,ByteEnumField,ByteEnumField,ByteEnumField,ByteEnumField,IntEnumField,SignedIntField,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Genetic2Generated,ID:60,LenField,LongField,LongField,LongField,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Genetic2Generated,ID:61,FlagsField,ByteEnumField,MACField,MACField,FlagsField,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Genetic2Generated,ID:62,XBitField,ByteField,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Genetic2Generated,ID:63,XByteField,IntField,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Genetic2Generated,ID:64,SignedIntField,StrField,StrField,SignedIntField,SignedIntField,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Genetic2Generated,ID:65,LongField,ByteField,LongField,LongField,LongField,BitEnumField,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Genetic2Generated,ID:66,SignedIntField,IP6Field,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Genetic2Generated,ID:67,StrLenField,StrLenField,StrLenField,StrLenField,StrLenField,ShortEnumField,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Genetic2Generated,ID:68,SignedIntField,XShortField,XShortField,XShortField,XShortField,XShortField,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Genetic2Generated,ID:69,ShortEnumField,MACField,MACField,MACField,MACField,MACField,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Genetic2Generated,ID:70,XShortField,FieldListField,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Genetic2Generated,ID:71,ShortEnumField,ShortEnumField,ShortEnumField,ShortEnumField,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Genetic2Generated,ID:72,PadField,XBitField,XIntField,XIntField,XIntField,XIntField,XIntField,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Genetic2Generated,ID:73,FieldLenField,StrField,FieldLenField,StrField,FieldLenField,FieldLenField,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Genetic2Generated,ID:74,ShortField,XNBytesField,FieldLenField,XNBytesField,XNBytesField,XNBytesField,XNBytesField,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Genetic2Generated,ID:75,Field,Field,Field,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Genetic2Generated,ID:76,StrFixedLenField,SockAddrsField,XShortField,XShortField,SockAddrsField,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Genetic2Generated,ID:77,LenField,LenField,MACField,IntField,MACField,MACField,MACField,MACField,MACField,MACField,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Genetic2Generated,ID:78,ByteEnumField,IP6Field,IP6Field,IP6Field,IP6Field,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Genetic2Generated,ID:79,PadField,PadField,XBitField,XBitField,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Genetic2Generated,ID:80,XIntField,XIntField,XIntField,XIntField,XIntField,ByteField,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Genetic2Generated,ID:81,BitEnumField,XShortField,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Genetic2Generated,ID:82,ByteEnumField,BitEnumField,SockAddrsField,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Genetic2Generated,ID:83,XBitField,FieldLenField,XBitField,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Genetic2Generated,ID:84,Field,XNBytesField,BitField,BitField,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Genetic2Generated,ID:85,StrLenField,StrLenField,StrLenField,StrLenField,StrLenField,StrLenField,StrLenField,StrLenField,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Genetic2Generated,ID:86,XBitField,XBitField,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,Genetic2Generated,ID:87,EnumField,BitEnumField,BitEnumField,BitEnumField,XStrLenField,XBitField,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Genetic2Generated,ID:88,StrField,StrField,ShortField,SignedIntField,SignedIntField,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,Genetic2Generated,ID:89,MayEnd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Genetic2Generated,ID:90,FlagsField,MayEnd,FlagsField,FlagsField,MayEnd,FlagsField,MayEnd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,Genetic2Generated,ID:91,ShortField,IntEnumField,Field,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,Genetic2Generated,ID:92,SockAddrsField,SockAddrsField,XBitField,SignedIntField,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,Genetic2Generated,ID:93,UUIDField,EnumField,XNBytesField,EnumField,EnumField,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,Genetic2Generated,ID:94,XNBytesField,UUIDField,StrFixedLenField,StrFixedLenField,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,Genetic2Generated,ID:95,FieldListField,FieldListField,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,Genetic2Generated,ID:96,MayEnd,MayEnd,MayEnd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Genetic2Generated,ID:97,LongField,LongField,XStrLenField,XStrLenField,IntEnumField,XStrLenField,LongField,LongField,LongField,IntEnumField,IntEnumField,IntEnumField,LongField,LongField,IntEnumField,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,Genetic2Generated,ID:98,LenField,BitField,LenField,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Genetic2Generated,ID:99,SockAddrsField,SockAddrsField,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Genetic2Generated,ID:100,ByteEnumField,ByteEnumField,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Genetic2Generated,ID:101,LongField,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,Genetic2Generated,ID:102,XShortField,ShortEnumField,XShortField,XShortField,XShortField,XShortField,XShortField,XShortField,XShortField,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,Genetic2Generated,ID:103,MayEnd,MayEnd,MayEnd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,Genetic2Generated,ID:104,LenField,LenField,LenField,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,Genetic2Generated,ID:105,MACField,MACField,XBitField,BitEnumField,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,Genetic2Generated,ID:106,XByteField,IntEnumField,ShortField,ShortField,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,Genetic2Generated,ID:107,ByteEnumField,ByteEnumField,IntEnumField,IntEnumField,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,Genetic2Generated,ID:108,UUIDField,UUIDField,UUIDField,UUIDField,UUIDField,UUIDField,UUIDField,UUIDField,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,Genetic2Generated,ID:109,MACField,MACField,MACField,MACField,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,Genetic2Generated,ID:110,IP6Field,FieldLenField,FieldLenField,UUIDField,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,Genetic2Generated,ID:111,Field,XIntField,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,Genetic2Generated,ID:112,SockAddrsField,StrLenField,XByteField,StrLenField,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,Genetic2Generated,ID:113,ByteEnumField,IntEnumField,MayEnd,MayEnd,MayEnd,MayEnd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,Genetic2Generated,ID:114,EnumField,EnumField,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,Genetic2Generated,ID:115,XBitField,XBitField,XBitField,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,Genetic2Generated,ID:116,MACField,MACField,IntField,MACField,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,Genetic2Generated,ID:117,XIntField,XIntField,ShortField,SockAddrsField,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,Genetic2Generated,ID:118,LenField,IntEnumField,IntEnumField,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,Genetic2Generated,ID:119,BitField,ShortEnumField,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,Genetic2Generated,ID:120,MayEnd,MayEnd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,Genetic2Generated,ID:121,LongField,LongField,MACField,MACField,MACField,MACField,BitField,MACField,MACField,MACField,MACField,MACField,MACField,LongField,LongField,LongField,MACField,MACField,MACField,MACField,LongField,LongField,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,Genetic2Generated,ID:122,ByteField,MACField,SockAddrsField,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,Genetic2Generated,ID:123,SockAddrsField,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,Genetic2Generated,ID:124,ByteField,FieldLenField,FieldLenField,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,Genetic2Generated,ID:125,IP6Field,IP6Field,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,Genetic2Generated,ID:126,MayEnd,StrFixedLenField,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,Genetic2Generated,ID:127,ByteField,ByteField,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,Genetic2Generated,ID:128,MACField,LongField,XIntField,XIntField,XIntField,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,Genetic2Generated,ID:129,XIntField,ShortEnumField,Field,Field,ByteField,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,Genetic2Generated,ID:130,LongField,LongField,BitField,LongField,XShortField,XBitField,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,Genetic2Generated,ID:131,StrFixedLenField,StrFixedLenField,StrFixedLenField,StrFixedLenField,PadField,SockAddrsField,ByteEnumField,ByteEnumField,SockAddrsField,PadField,StrFixedLenField,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,Genetic2Generated,ID:132,IP6Field,IP6Field,IP6Field,IP6Field,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,Genetic2Generated,ID:133,XIntField,BitEnumField,XIntField,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,Genetic2Generated,ID:134,MayEnd,Field,MayEnd,MayEnd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,Genetic2Generated,ID:135,Field,Field,Field,Field,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,Genetic2Generated,ID:136,LongField,XShortField,ByteEnumField,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,Genetic2Generated,ID:137,BitField,BitField,ByteField,ByteField,SignedIntField,ByteField,ByteField,StrField,ByteField,StrField,StrField,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,Genetic2Generated,ID:138,ShortEnumField,ShortEnumField,StrLenField,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,Genetic2Generated,ID:139,StrLenField,StrLenField,EnumField,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,Genetic2Generated,ID:140,ByteEnumField,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,Genetic2Generated,ID:141,XIntField,MACField,MACField,MACField,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,Genetic2Generated,ID:142,BitField,BitField,BitField,BitField,BitField,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
