Model,Regularisation,Round,Score
Genetic,3.0,16,0.6861880341880342
Genetic,3.0,17,0.6857350427350427
Genetic,3.0,18,0.6801880341880342
Genetic,3.0,19,0.7021880341880342
Genetic,3.0,20,0.6807350427350427
Genetic,3.0,21,0.6506410256410257
Genetic,3.0,22,0.7101880341880342
Genetic,3.0,23,0.6751880341880342
Genetic,3.0,24,0.6591880341880342
Genetic,3.0,25,0.6621880341880342
Genetic,3.0,26,0.6711880341880342
Genetic,3.0,27,0.6756410256410257
Genetic,3.0,28,0.6751880341880342
Genetic,3.0,29,0.6781880341880342
Genetic,3.0,30,0.6801880341880342
Genetic,3.0,31,0.6971880341880342
Genetic,3.0,32,0.6821880341880342
Genetic,3.0,33,0.6627350427350427
Genetic,3.0,34,0.6761880341880342
Genetic,3.0,35,0.6697350427350427
Genetic,3.0,36,0.7001880341880342
Genetic,3.0,37,0.6741880341880342
Genetic,3.0,38,0.6907350427350427
Genetic,3.0,39,0.6887350427350427
Genetic,3.0,40,0.6761880341880342
Genetic,3.0,41,0.6801880341880342
Genetic,3.0,42,0.6867350427350427
Genetic,3.0,43,0.6681880341880342
Genetic,3.0,44,0.6741880341880342
Genetic,3.0,45,0.6731880341880342
Genetic,3.0,46,0.7117350427350427
Genetic,3.0,47,0.6821880341880342
Genetic,3.0,48,0.6691880341880342
Genetic,3.0,49,0.6721880341880342
Genetic,4.0,0,0.59
Genetic,4.0,1,0.5945470085470085
Genetic,4.0,2,0.568
Genetic,4.0,3,0.6175470085470085
Genetic,4.0,4,0.592
Genetic,4.0,5,0.606
Genetic,4.0,6,0.597
Genetic,4.0,7,0.5965470085470085
Genetic,4.0,8,0.615
Genetic,4.0,9,0.599
Genetic,4.0,10,0.5815470085470085
Genetic,4.0,11,0.565
Genetic,4.0,12,0.578
Genetic,4.0,13,0.5815470085470085
Genetic,4.0,14,0.5955470085470085
Genetic,4.0,15,0.583
Genetic,4.0,16,0.588
Genetic,4.0,17,0.602
Genetic,4.0,18,0.585
Genetic,4.0,19,0.562
Genetic,4.0,20,0.5885470085470085
Genetic,4.0,21,0.595
Genetic,4.0,22,0.584
Genetic,4.0,23,0.572
Genetic,4.0,24,0.59
Genetic,4.0,25,0.576
Genetic,4.0,26,0.595
Genetic,4.0,27,0.551
Genetic,4.0,28,0.601
Genetic,4.0,29,0.5735470085470085
Genetic,4.0,30,0.599
Genetic,4.0,31,0.618
Genetic,4.0,32,0.6045470085470085
Genetic,4.0,33,0.577
Genetic,4.0,34,0.5945470085470085
Genetic,4.0,35,0.5885470085470085
Genetic,4.0,36,0.617
Genetic,4.0,37,0.5855470085470085
Genetic,4.0,38,0.585
Genetic,4.0,39,0.593
Genetic,4.0,40,0.6165470085470085
Genetic,4.0,41,0.562
Genetic,4.0,42,0.599
Genetic,4.0,43,0.593
Genetic,4.0,44,0.6035470085470085
Genetic,4.0,45,0.5995470085470085
Genetic,4.0,46,0.6040940170940171
Genetic,4.0,47,0.58
Genetic,4.0,48,0.586
Genetic,4.0,49,0.58
Genetic,5.0,0,0.6886410256410257
Genetic,5.0,1,0.7107350427350427
Genetic,5.0,2,0.6927350427350427
Genetic,5.0,3,0.6887350427350427
Genetic,5.0,4,0.6857350427350427
Genetic,5.0,5,0.6911880341880342
Genetic,5.0,6,0.6561880341880342
Genetic,5.0,7,0.6956410256410257
Genetic,5.0,8,0.6711880341880342
Genetic,5.0,9,0.7231880341880341
Genetic,5.0,10,0.7126410256410257
Genetic,5.0,11,0.7066410256410257
Genetic,5.0,12,0.6667350427350427
Genetic,5.0,13,0.7006410256410257
Genetic,5.0,14,0.6671880341880342
Genetic,5.0,15,0.7027350427350427
Genetic,5.0,16,0.7056410256410257
Genetic,5.0,17,0.6971880341880342
Genetic,5.0,18,0.6821880341880342
Genetic,5.0,19,0.6817350427350427
Genetic,5.0,20,0.6931880341880342
Genetic,5.0,21,0.7151880341880342
Genetic,5.0,22,0.6781880341880342
Genetic,5.0,23,0.7011880341880342
Genetic,5.0,24,0.6751880341880342
Genetic,5.0,25,0.7141880341880342
Genetic,5.0,26,0.6696410256410257
Genetic,5.0,27,0.6881880341880342
Genetic,5.0,28,0.7011880341880342
Genetic,5.0,29,0.6937350427350427
Genetic,5.0,30,0.6661880341880342
Genetic,5.0,31,0.7011880341880342
Genetic,5.0,32,0.6711880341880342
Genetic,5.0,33,0.6741880341880342
Genetic,5.0,34,0.6881880341880342
Genetic,5.0,35,0.6931880341880342
Genetic,5.0,36,0.6730940170940172
Genetic,5.0,37,0.6877350427350427
Genetic,5.0,38,0.6911880341880342
Genetic,5.0,39,0.7157350427350427
Genetic,5.0,40,0.6987350427350427
Genetic,5.0,41,0.6781880341880342
Genetic,5.0,42,0.6911880341880342
Genetic,5.0,43,0.6911880341880342
Genetic,5.0,44,0.6887350427350427
Genetic,5.0,45,0.6691880341880342
Genetic,5.0,46,0.6691880341880342
Genetic,5.0,47,0.6560940170940172
Genetic,5.0,48,0.6981880341880342
Genetic,5.0,49,0.6656410256410257
Genetic,6.0,0,0.589
Genetic,6.0,1,0.613
Genetic,6.0,2,0.61
Genetic,6.0,3,0.6095470085470085
Genetic,6.0,4,0.5895470085470085
Genetic,6.0,5,0.6
Genetic,6.0,6,0.594
Genetic,6.0,7,0.6175470085470085
Genetic,6.0,8,0.6185470085470085
Genetic,6.0,9,0.5925470085470085
Genetic,6.0,10,0.6150940170940171
Genetic,6.0,11,0.5895470085470085
Genetic,6.0,12,0.5975470085470085
Genetic,6.0,13,0.5945470085470085
Genetic,6.0,14,0.595
Genetic,6.0,15,0.61
Genetic,6.0,16,0.597
Genetic,6.0,17,0.596
Genetic,6.0,18,0.632
Genetic,6.0,19,0.602
Genetic,6.0,20,0.5790940170940172
Genetic,6.0,21,0.5815470085470085
Genetic,6.0,22,0.598
Genetic,6.0,23,0.59
Genetic,6.0,24,0.6
Genetic,6.0,25,0.615
Genetic,6.0,26,0.6215470085470085
Genetic,6.0,27,0.617
Genetic,6.0,28,0.563
Genetic,6.0,29,0.599
Genetic,6.0,30,0.6005470085470085
Genetic,6.0,31,0.594
Genetic,6.0,32,0.6255470085470085
Genetic,6.0,33,0.6145470085470085
Genetic,6.0,34,0.5955470085470085
Genetic,6.0,35,0.5855470085470085
Genetic,6.0,36,0.5930940170940171
Genetic,6.0,37,0.599
Genetic,6.0,38,0.6175470085470085
Genetic,6.0,39,0.6095470085470085
Genetic,6.0,40,0.596
Genetic,6.0,41,0.606
Genetic,6.0,42,0.6145470085470085
Genetic,6.0,43,0.593
Genetic,6.0,44,0.612
Genetic,6.0,45,0.596
Genetic,6.0,46,0.5665470085470086
Genetic,6.0,47,0.61
Genetic,6.0,48,0.6320940170940171
Genetic,6.0,49,0.602
Genetic,7.0,0,0.7076410256410257
Genetic,7.0,1,0.7061880341880342
Genetic,7.0,2,0.6726410256410257
Genetic,7.0,3,0.6791880341880342
Genetic,7.0,4,0.7111880341880342
Genetic,7.0,5,0.6891880341880342
Genetic,7.0,6,0.6956410256410257
Genetic,7.0,7,0.6986410256410257
Genetic,7.0,8,0.7067350427350427
Genetic,7.0,9,0.6816410256410257
Genetic,7.0,10,0.6881880341880342
Genetic,7.0,11,0.7011880341880342
Genetic,7.0,12,0.7161880341880342
Genetic,7.0,13,0.7051880341880342
Genetic,7.0,14,0.6937350427350427
Genetic,7.0,15,0.6866410256410257
Genetic,7.0,16,0.6811880341880342
Genetic,7.0,17,0.7101880341880342
Genetic,7.0,18,0.6947350427350427
Genetic,7.0,19,0.6927350427350427
Genetic,7.0,20,0.7001880341880342
Genetic,7.0,21,0.6906410256410257
Genetic,7.0,22,0.7177350427350427
Genetic,7.0,23,0.7097350427350427
Genetic,7.0,24,0.7036410256410257
Genetic,7.0,25,0.6987350427350427
Genetic,7.0,26,0.6991880341880342
Genetic,7.0,27,0.7131880341880342
Genetic,7.0,28,0.7046410256410257
Genetic,7.0,29,0.6916410256410257
Genetic,7.0,30,0.7157350427350427
Genetic,7.0,31,0.7291880341880341
Genetic,7.0,32,0.6931880341880342
Genetic,7.0,33,0.7001880341880342
Genetic,7.0,34,0.7047350427350427
Genetic,7.0,35,0.6951880341880342
Genetic,7.0,36,0.7077350427350427
Genetic,7.0,37,0.7026410256410257
Genetic,7.0,38,0.7017350427350427
Genetic,7.0,39,0.6871880341880342
Genetic,7.0,40,0.7076410256410257
Genetic,7.0,41,0.7027350427350427
Genetic,7.0,42,0.7006410256410257
Genetic,7.0,43,0.6890940170940172
Genetic,7.0,44,0.6971880341880342
Genetic,7.0,45,0.7076410256410257
Genetic,7.0,46,0.7061880341880342
Genetic,7.0,47,0.7231880341880341
Genetic,7.0,48,0.7181880341880342
Genetic,7.0,49,0.6761880341880342
Genetic,8.0,0,0.595
Genetic,8.0,1,0.614
Genetic,8.0,2,0.6175470085470085
Genetic,8.0,3,0.587
Genetic,8.0,4,0.63
Genetic,8.0,5,0.584
Genetic,8.0,6,0.628
Genetic,8.0,7,0.614
Genetic,8.0,8,0.586
Genetic,8.0,9,0.6355470085470085
Genetic,8.0,10,0.6145470085470085
Genetic,8.0,11,0.6255470085470085
Genetic,8.0,12,0.621
Genetic,8.0,13,0.614
Genetic,8.0,14,0.608
Genetic,8.0,15,0.6070940170940171
Genetic,8.0,16,0.589
Genetic,8.0,17,0.592
Genetic,8.0,18,0.595
Genetic,8.0,19,0.5725470085470085
Genetic,8.0,20,0.6105470085470085
Genetic,8.0,21,0.6135470085470085
Genetic,8.0,22,0.6
Genetic,8.0,23,0.595
Genetic,8.0,24,0.6320940170940171
Genetic,8.0,25,0.6015470085470085
Genetic,8.0,26,0.628
Genetic,8.0,27,0.605
Genetic,8.0,28,0.63
Genetic,8.0,29,0.591
Genetic,8.0,30,0.58
Genetic,8.0,31,0.625
Genetic,8.0,32,0.603
Genetic,8.0,33,0.6195470085470085
Genetic,8.0,34,0.615
Genetic,8.0,35,0.606
Genetic,8.0,36,0.578
Genetic,8.0,37,0.581
Genetic,8.0,38,0.615
Genetic,8.0,39,0.6075470085470085
Genetic,8.0,40,0.627
Genetic,8.0,41,0.581
Genetic,8.0,42,0.588
Genetic,8.0,43,0.586
Genetic,8.0,44,0.5975470085470085
Genetic,8.0,45,0.619
Genetic,8.0,46,0.584
Genetic,8.0,47,0.621
Genetic,8.0,48,0.6005470085470085
Genetic,8.0,49,0.587
Genetic,100000.0,0,0.6810940170940172
Genetic,100000.0,1,0.6510940170940172
Genetic,100000.0,2,0.6826410256410257
Genetic,100000.0,3,0.6916410256410257
Genetic,100000.0,4,0.6700940170940172
Genetic,100000.0,5,0.7027350427350427
Genetic,100000.0,6,0.6716410256410257
Genetic,100000.0,7,0.6861880341880342
Genetic,100000.0,8,0.6826410256410257
Genetic,100000.0,9,0.7046410256410257
Genetic,100000.0,10,0.6780940170940172
Genetic,100000.0,11,0.6760940170940172
Genetic,100000.0,12,0.6600940170940172
Genetic,100000.0,13,0.6295470085470085
Genetic,100000.0,14,0.7040940170940172
Genetic,100000.0,15,0.6856410256410257
Genetic,100000.0,16,0.6691880341880342
Genetic,100000.0,17,0.6760940170940172
Genetic,100000.0,18,0.6916410256410257
Genetic,100000.0,19,0.6771880341880342
Genetic,100000.0,20,0.6610940170940172
Genetic,100000.0,21,0.6576410256410257
Genetic,100000.0,22,0.6780940170940172
Genetic,100000.0,23,0.6770940170940172
Genetic,100000.0,24,0.6850940170940172
Genetic,100000.0,25,0.6910940170940172
Genetic,100000.0,26,0.6506410256410257
Genetic,100000.0,27,0.6650940170940172
Genetic,100000.0,28,0.6876410256410257
Genetic,100000.0,29,0.6961880341880342
Genetic,100000.0,30,0.6895470085470086
Genetic,100000.0,31,0.6421880341880342
Genetic,100000.0,32,0.6905470085470086
Genetic,100000.0,33,0.6861880341880342
Genetic,100000.0,34,0.6600940170940172
Genetic,100000.0,35,0.6921880341880342
Genetic,100000.0,36,0.6760940170940172
Genetic,100000.0,37,0.7071880341880342
Genetic,100000.0,38,0.6800940170940172
Genetic,100000.0,39,0.6780940170940172
Genetic,100000.0,40,0.6841880341880342
Genetic,100000.0,41,0.6806410256410257
Genetic,100000.0,42,0.7081880341880342
Genetic,100000.0,43,0.6776410256410257
Genetic,100000.0,44,0.7061880341880342
Genetic,100000.0,45,0.6901880341880342
Genetic,100000.0,46,0.6720940170940172
Genetic,100000.0,47,0.6816410256410257
Genetic,100000.0,48,0.6845470085470086
Genetic,100000.0,49,0.6706410256410257
1stOrderMarkov,0.0,0,0.8078461538461539
1stOrderMarkov,0.0,1,0.7771111111111111
1stOrderMarkov,0.0,2,0.843940170940171
1stOrderMarkov,0.0,3,0.8328461538461539
1stOrderMarkov,0.0,4,0.8232991452991454
1stOrderMarkov,0.0,5,0.8043931623931624
1stOrderMarkov,0.0,6,0.8408461538461539
1stOrderMarkov,0.0,7,0.7771111111111111
1stOrderMarkov,0.0,8,0.8177521367521368
1stOrderMarkov,0.0,9,0.7796581196581197
1stOrderMarkov,0.0,10,0.7896581196581197
1stOrderMarkov,0.0,11,0.7921111111111112
1stOrderMarkov,0.0,12,0.8143931623931624
1stOrderMarkov,0.0,13,0.8143931623931624
1stOrderMarkov,0.0,14,0.8274871794871795
1stOrderMarkov,0.0,15,0.8091111111111111
1stOrderMarkov,0.0,16,0.8107521367521369
1stOrderMarkov,0.0,17,0.7946581196581197
1stOrderMarkov,0.0,18,0.7837521367521367
1stOrderMarkov,0.0,19,0.8038461538461539
1stOrderMarkov,0.0,20,0.8098461538461539
1stOrderMarkov,0.0,21,0.8424871794871795
1stOrderMarkov,0.0,22,0.7922991452991454
1stOrderMarkov,0.0,23,0.7912051282051282
1stOrderMarkov,0.0,24,0.8433931623931624
1stOrderMarkov,0.0,25,0.7882991452991454
1stOrderMarkov,0.0,26,0.8398461538461539
1stOrderMarkov,0.0,27,0.7612051282051282
1stOrderMarkov,0.0,28,0.7967521367521369
1stOrderMarkov,0.0,29,0.8173931623931624
1stOrderMarkov,0.0,30,0.8002991452991454
1stOrderMarkov,0.0,31,0.8157521367521368
1stOrderMarkov,0.0,32,0.8186581196581196
1stOrderMarkov,0.0,33,0.8315811965811966
1stOrderMarkov,0.0,34,0.8536752136752137
1stOrderMarkov,0.0,35,0.8142991452991454
1stOrderMarkov,0.0,36,0.7862051282051282
1stOrderMarkov,0.0,37,0.7936581196581197
1stOrderMarkov,0.0,38,0.8188461538461539
1stOrderMarkov,0.0,39,0.8077521367521368
1stOrderMarkov,0.0,40,0.8252991452991454
1stOrderMarkov,0.0,41,0.8047521367521369
1stOrderMarkov,0.0,42,0.8067521367521369
1stOrderMarkov,0.0,43,0.7766581196581197
1stOrderMarkov,0.0,44,0.7404700854700855
1stOrderMarkov,0.0,45,0.7882051282051282
1stOrderMarkov,0.0,46,0.8367521367521367
1stOrderMarkov,0.0,47,0.8289401709401709
1stOrderMarkov,0.0,48,0.8092991452991454
1stOrderMarkov,0.0,49,0.8017521367521367
1stOrderMarkov,1.0,0,0.8674700854700855
1stOrderMarkov,1.0,1,0.9087521367521367
1stOrderMarkov,1.0,2,0.8675641025641025
1stOrderMarkov,1.0,3,0.9016581196581197
1stOrderMarkov,1.0,4,0.8624700854700855
1stOrderMarkov,1.0,5,0.8675641025641025
1stOrderMarkov,1.0,6,0.9046581196581197
1stOrderMarkov,1.0,7,0.8425641025641025
1stOrderMarkov,1.0,8,0.875017094017094
1stOrderMarkov,1.0,9,0.8846581196581197
1stOrderMarkov,1.0,10,0.8629230769230769
1stOrderMarkov,1.0,11,0.8825641025641026
1stOrderMarkov,1.0,12,0.8941111111111111
1stOrderMarkov,1.0,13,0.9126581196581197
1stOrderMarkov,1.0,14,0.9222991452991454
1stOrderMarkov,1.0,15,0.8634700854700855
1stOrderMarkov,1.0,16,0.9333931623931624
1stOrderMarkov,1.0,17,0.887017094017094
1stOrderMarkov,1.0,18,0.8454700854700855
1stOrderMarkov,1.0,19,0.8756581196581197
1stOrderMarkov,1.0,20,0.9082991452991453
1stOrderMarkov,1.0,21,0.868017094017094
1stOrderMarkov,1.0,22,0.8997521367521368
1stOrderMarkov,1.0,23,0.864111111111111
1stOrderMarkov,1.0,24,0.8948461538461538
1stOrderMarkov,1.0,25,0.9035641025641026
1stOrderMarkov,1.0,26,0.8795641025641026
1stOrderMarkov,1.0,27,0.8635641025641025
1stOrderMarkov,1.0,28,0.8976581196581197
1stOrderMarkov,1.0,29,0.9072051282051282
1stOrderMarkov,1.0,30,0.8911111111111112
1stOrderMarkov,1.0,31,0.8383760683760684
1stOrderMarkov,1.0,32,0.9011111111111112
1stOrderMarkov,1.0,33,0.8543760683760684
1stOrderMarkov,1.0,34,0.888017094017094
1stOrderMarkov,1.0,35,0.8695641025641025
1stOrderMarkov,1.0,36,0.9002051282051282
1stOrderMarkov,1.0,37,0.866017094017094
1stOrderMarkov,1.0,38,0.8724700854700855
1stOrderMarkov,1.0,39,0.9332991452991454
1stOrderMarkov,1.0,40,0.9005641025641026
1stOrderMarkov,1.0,41,0.872017094017094
1stOrderMarkov,1.0,42,0.8900170940170941
1stOrderMarkov,1.0,43,0.8364700854700855
1stOrderMarkov,1.0,44,0.8574700854700855
1stOrderMarkov,1.0,45,0.8846581196581197
1stOrderMarkov,1.0,46,0.871923076923077
1stOrderMarkov,1.0,47,0.8901111111111111
1stOrderMarkov,1.0,48,0.8674700854700855
1stOrderMarkov,1.0,49,0.8905641025641026
1stOrderMarkov,2.0,0,0.8828290598290598
1stOrderMarkov,2.0,1,0.9336581196581196
1stOrderMarkov,2.0,2,0.9415641025641025
1stOrderMarkov,2.0,3,0.926017094017094
1stOrderMarkov,2.0,4,0.9024700854700854
1stOrderMarkov,2.0,5,0.8893760683760683
1stOrderMarkov,2.0,6,0.930017094017094
1stOrderMarkov,2.0,7,0.918017094017094
1stOrderMarkov,2.0,8,0.9024700854700854
1stOrderMarkov,2.0,9,0.8899230769230768
1stOrderMarkov,2.0,10,0.9275641025641025
1stOrderMarkov,2.0,11,0.9456581196581196
1stOrderMarkov,2.0,12,0.933017094017094
1stOrderMarkov,2.0,13,0.9155641025641025
1stOrderMarkov,2.0,14,0.9024700854700854
1stOrderMarkov,2.0,15,0.9103760683760683
1stOrderMarkov,2.0,16,0.9029230769230769
1stOrderMarkov,2.0,17,0.9757521367521367
1stOrderMarkov,2.0,18,0.910923076923077
1stOrderMarkov,2.0,19,0.9049230769230769
1stOrderMarkov,2.0,20,0.8999230769230768
1stOrderMarkov,2.0,21,0.9517521367521367
1stOrderMarkov,2.0,22,0.9326581196581196
1stOrderMarkov,2.0,23,0.8912820512820513
1stOrderMarkov,2.0,24,0.8998290598290598
1stOrderMarkov,2.0,25,0.9014700854700854
1stOrderMarkov,2.0,26,0.8990170940170941
1stOrderMarkov,2.0,27,0.9285641025641025
1stOrderMarkov,2.0,28,0.8813760683760683
1stOrderMarkov,2.0,29,0.9345641025641025
1stOrderMarkov,2.0,30,0.9069230769230769
1stOrderMarkov,2.0,31,0.8864700854700855
1stOrderMarkov,2.0,32,0.9255641025641025
1stOrderMarkov,2.0,33,0.914017094017094
1stOrderMarkov,2.0,34,0.9155641025641025
1stOrderMarkov,2.0,35,0.910017094017094
1stOrderMarkov,2.0,36,0.8974700854700856
1stOrderMarkov,2.0,37,0.9111111111111112
1stOrderMarkov,2.0,38,0.9334700854700855
1stOrderMarkov,2.0,39,0.9441111111111111
1stOrderMarkov,2.0,40,0.8999230769230768
1stOrderMarkov,2.0,41,0.9059230769230768
1stOrderMarkov,2.0,42,0.933111111111111
1stOrderMarkov,2.0,43,0.920017094017094
1stOrderMarkov,2.0,44,0.9029230769230769
1stOrderMarkov,2.0,45,0.9155641025641025
1stOrderMarkov,2.0,46,0.8929230769230769
1stOrderMarkov,2.0,47,0.8853760683760683
1stOrderMarkov,2.0,48,0.9547521367521368
1stOrderMarkov,2.0,49,0.9014700854700854
1stOrderMarkov,3.0,0,0.9335641025641025
1stOrderMarkov,3.0,1,0.8812820512820513
1stOrderMarkov,3.0,2,0.930923076923077
1stOrderMarkov,3.0,3,0.9143760683760683
1stOrderMarkov,3.0,4,0.8847350427350427
1stOrderMarkov,3.0,5,0.938017094017094
1stOrderMarkov,3.0,6,0.9555641025641025
1stOrderMarkov,3.0,7,0.9208290598290598
1stOrderMarkov,3.0,8,0.9605641025641025
1stOrderMarkov,3.0,9,0.9274700854700855
1stOrderMarkov,3.0,10,0.920923076923077
1stOrderMarkov,3.0,11,0.8842820512820513
1stOrderMarkov,3.0,12,0.9183760683760683
1stOrderMarkov,3.0,13,0.9265641025641025
1stOrderMarkov,3.0,14,0.954923076923077
1stOrderMarkov,3.0,15,0.9123760683760683
1stOrderMarkov,3.0,16,0.8812820512820513
1stOrderMarkov,3.0,17,0.912923076923077
1stOrderMarkov,3.0,18,0.9535641025641025
1stOrderMarkov,3.0,19,0.9193760683760683
1stOrderMarkov,3.0,20,0.9234700854700855
1stOrderMarkov,3.0,21,0.9695641025641025
1stOrderMarkov,3.0,22,0.950017094017094
1stOrderMarkov,3.0,23,0.951017094017094
1stOrderMarkov,3.0,24,0.8988290598290598
1stOrderMarkov,3.0,25,0.9163760683760683
1stOrderMarkov,3.0,26,0.8958290598290598
1stOrderMarkov,3.0,27,0.8997350427350427
1stOrderMarkov,3.0,28,0.928923076923077
1stOrderMarkov,3.0,29,0.9153760683760683
1stOrderMarkov,3.0,30,0.9215641025641025
1stOrderMarkov,3.0,31,0.9062820512820513
1stOrderMarkov,3.0,32,0.9154700854700855
1stOrderMarkov,3.0,33,0.9354700854700855
1stOrderMarkov,3.0,34,0.9142820512820513
1stOrderMarkov,3.0,35,0.8912820512820513
1stOrderMarkov,3.0,36,0.9193760683760683
1stOrderMarkov,3.0,37,0.9059230769230768
1stOrderMarkov,3.0,38,0.9148290598290598
1stOrderMarkov,3.0,39,0.951017094017094
1stOrderMarkov,3.0,40,0.943017094017094
1stOrderMarkov,3.0,41,0.8897350427350427
1stOrderMarkov,3.0,42,0.915017094017094
