,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
56,GeneticGenerated,ID:56,ByteEnumField,ByteField,ByteField,IP6Field,IntField,ByteField,,,,,,,,,,,,,,,,,,,,,,
57,GeneticGenerated,ID:57,StrLenField,FieldLenField,ByteField,,,,,,,,,,,,,,,,,,,,,,,,,
58,GeneticGenerated,ID:58,ByteField,StrFixedLenField,ByteField,ByteField,ByteField,,,,,,,,,,,,,,,,,,,,,,,
59,GeneticGenerated,ID:59,StrLenField,ByteEnumField,,,,,,,,,,,,,,,,,,,,,,,,,,
60,GeneticGenerated,ID:60,XIntField,ShortField,ShortEnumField,LongField,LongField,,,,,,,,,,,,,,,,,,,,,,,
61,GeneticGenerated,ID:61,StrFixedLenField,MACField,FlagsField,BitEnumField,ShortEnumField,FlagsField,FlagsField,FlagsField,FlagsField,FlagsField,,,,,,,,,,,,,,,,,,
62,GeneticGenerated,ID:62,ShortEnumField,ShortEnumField,ShortField,,,,,,,,,,,,,,,,,,,,,,,,,
63,GeneticGenerated,ID:63,BitEnumField,BitField,BitField,,,,,,,,,,,,,,,,,,,,,,,,,
64,GeneticGenerated,ID:64,XByteField,ByteEnumField,,,,,,,,,,,,,,,,,,,,,,,,,,
65,GeneticGenerated,ID:65,LenField,ShortEnumField,XByteField,ByteEnumField,XShortField,ShortEnumField,XShortField,XIntField,,,,,,,,,,,,,,,,,,,,
66,GeneticGenerated,ID:66,ByteEnumField,ShortField,ByteEnumField,IP6Field,IP6Field,ShortField,ShortField,,,,,,,,,,,,,,,,,,,,,
67,GeneticGenerated,ID:67,ByteEnumField,ShortField,BitField,BitField,BitField,BitField,,,,,,,,,,,,,,,,,,,,,,
68,GeneticGenerated,ID:68,FieldLenField,StrLenField,StrLenField,FieldLenField,,,,,,,,,,,,,,,,,,,,,,,,
69,GeneticGenerated,ID:69,MayEnd,ShortEnumField,ByteEnumField,,,,,,,,,,,,,,,,,,,,,,,,,
70,GeneticGenerated,ID:70,XShortField,ShortEnumField,XIntField,ShortEnumField,ByteEnumField,LenField,XByteField,XShortField,,,,,,,,,,,,,,,,,,,,
71,GeneticGenerated,ID:71,XBitField,XByteField,,,,,,,,,,,,,,,,,,,,,,,,,,
72,GeneticGenerated,ID:72,XByteField,ByteField,ByteField,BitField,BitField,BitField,BitField,ByteField,BitField,BitField,BitField,ByteField,,,,,,,,,,,,,,,,
73,GeneticGenerated,ID:73,ByteEnumField,MayEnd,ByteField,,,,,,,,,,,,,,,,,,,,,,,,,
74,GeneticGenerated,ID:74,ByteField,ByteField,,,,,,,,,,,,,,,,,,,,,,,,,,
75,GeneticGenerated,ID:75,FieldListField,FieldListField,FieldListField,FieldListField,ByteField,FieldListField,,,,,,,,,,,,,,,,,,,,,,
76,GeneticGenerated,ID:76,ShortField,XShortField,IntField,,,,,,,,,,,,,,,,,,,,,,,,,
77,GeneticGenerated,ID:77,ShortField,IntEnumField,IntEnumField,PadField,StrFixedLenField,,,,,,,,,,,,,,,,,,,,,,,
78,GeneticGenerated,ID:78,FieldLenField,ShortField,ByteField,BitEnumField,StrLenField,ShortField,BitField,,,,,,,,,,,,,,,,,,,,,
79,GeneticGenerated,ID:79,StrField,ByteEnumField,ByteEnumField,,,,,,,,,,,,,,,,,,,,,,,,,
80,GeneticGenerated,ID:80,StrLenField,FieldLenField,StrFixedLenField,ByteEnumField,ByteEnumField,ByteEnumField,ShortEnumField,,,,,,,,,,,,,,,,,,,,,
81,GeneticGenerated,ID:81,ShortField,ShortEnumField,ShortField,,,,,,,,,,,,,,,,,,,,,,,,,
82,GeneticGenerated,ID:82,IntField,ShortEnumField,XShortField,ByteEnumField,ByteEnumField,ShortField,,,,,,,,,,,,,,,,,,,,,,
83,GeneticGenerated,ID:83,XStrLenField,ShortField,ShortEnumField,,,,,,,,,,,,,,,,,,,,,,,,,
84,GeneticGenerated,ID:84,ByteEnumField,ShortEnumField,ShortField,ByteEnumField,XBitField,FlagsField,IntField,ShortEnumField,,,,,,,,,,,,,,,,,,,,
85,GeneticGenerated,ID:85,ShortField,IntField,ShortField,,,,,,,,,,,,,,,,,,,,,,,,,
86,GeneticGenerated,ID:86,BitField,BitField,BitField,BitField,,,,,,,,,,,,,,,,,,,,,,,,
87,GeneticGenerated,ID:87,FieldListField,ShortField,,,,,,,,,,,,,,,,,,,,,,,,,,
88,GeneticGenerated,ID:88,ByteField,BitField,BitField,BitField,,,,,,,,,,,,,,,,,,,,,,,,
89,GeneticGenerated,ID:89,StrLenField,ByteEnumField,ByteEnumField,ByteEnumField,ByteEnumField,FieldLenField,StrLenField,FieldLenField,FieldLenField,FieldListField,ByteEnumField,StrLenField,FieldLenField,,,,,,,,,,,,,,,
90,GeneticGenerated,ID:90,ByteEnumField,FlagsField,ShortField,IntField,ShortEnumField,ByteEnumField,XIntField,XShortField,FlagsField,FlagsField,ByteField,IntField,ByteField,,,,,,,,,,,,,,,
91,GeneticGenerated,ID:91,XShortField,ShortEnumField,XIntField,,,,,,,,,,,,,,,,,,,,,,,,,
92,GeneticGenerated,ID:92,StrField,ByteField,ByteField,ByteField,,,,,,,,,,,,,,,,,,,,,,,,
93,GeneticGenerated,ID:93,BitField,BitField,BitField,BitField,BitField,BitField,BitField,BitField,BitField,BitField,BitField,,,,,,,,,,,,,,,,,
94,GeneticGenerated,ID:94,MayEnd,ByteField,ByteEnumField,,,,,,,,,,,,,,,,,,,,,,,,,
95,GeneticGenerated,ID:95,FieldListField,ByteField,ByteEnumField,,,,,,,,,,,,,,,,,,,,,,,,,
96,GeneticGenerated,ID:96,FieldLenField,XShortField,PadField,,,,,,,,,,,,,,,,,,,,,,,,,
97,GeneticGenerated,ID:97,ByteEnumField,XStrLenField,FieldLenField,ByteEnumField,ByteField,XByteField,ShortField,StrLenField,ByteField,,,,,,,,,,,,,,,,,,,
98,GeneticGenerated,ID:98,XByteField,PadField,ByteEnumField,FieldLenField,,,,,,,,,,,,,,,,,,,,,,,,
99,GeneticGenerated,ID:99,StrLenField,FieldLenField,ByteEnumField,,,,,,,,,,,,,,,,,,,,,,,,,
100,GeneticGenerated,ID:100,ByteField,ShortField,BitField,FlagsField,,,,,,,,,,,,,,,,,,,,,,,,
101,GeneticGenerated,ID:101,StrLenField,FieldLenField,ByteEnumField,ByteEnumField,ShortEnumField,StrFixedLenField,ByteEnumField,,,,,,,,,,,,,,,,,,,,,
102,GeneticGenerated,ID:102,XIntField,XIntField,XIntField,,,,,,,,,,,,,,,,,,,,,,,,,
103,GeneticGenerated,ID:103,BitEnumField,ByteField,ByteEnumField,ByteField,BitEnumField,FlagsField,ByteEnumField,ShortField,,,,,,,,,,,,,,,,,,,,
104,GeneticGenerated,ID:104,StrLenField,StrLenField,ByteEnumField,FieldLenField,FieldListField,FieldLenField,FieldLenField,,,,,,,,,,,,,,,,,,,,,
105,GeneticGenerated,ID:105,IntEnumField,LongField,IntEnumField,LongField,IntField,LongField,IntField,,,,,,,,,,,,,,,,,,,,,
106,GeneticGenerated,ID:106,ByteEnumField,StrLenField,FieldListField,FieldLenField,FieldLenField,StrLenField,FieldLenField,,,,,,,,,,,,,,,,,,,,,
107,GeneticGenerated,ID:107,ShortEnumField,FieldLenField,EnumField,ShortEnumField,MayEnd,XStrLenField,FieldLenField,XStrLenField,FieldLenField,XStrLenField,,,,,,,,,,,,,,,,,,
108,GeneticGenerated,ID:108,BitEnumField,FlagsField,FlagsField,BitField,BitField,BitField,FlagsField,FlagsField,,,,,,,,,,,,,,,,,,,,
109,GeneticGenerated,ID:109,ShortEnumField,ShortField,ByteField,ShortField,ByteField,ByteField,,,,,,,,,,,,,,,,,,,,,,
110,GeneticGenerated,ID:110,PadField,BitField,BitField,FieldLenField,ByteEnumField,,,,,,,,,,,,,,,,,,,,,,,
111,GeneticGenerated,ID:111,ByteEnumField,ByteField,ByteField,ByteEnumField,ByteField,ByteField,ByteField,ByteField,,,,,,,,,,,,,,,,,,,,
112,GeneticGenerated,ID:112,ShortField,ByteField,XByteField,,,,,,,,,,,,,,,,,,,,,,,,,
113,GeneticGenerated,ID:113,ShortField,ShortField,IP6Field,,,,,,,,,,,,,,,,,,,,,,,,,
114,GeneticGenerated,ID:114,ShortField,ShortEnumField,ShortEnumField,ShortEnumField,,,,,,,,,,,,,,,,,,,,,,,,
115,GeneticGenerated,ID:115,BitField,IntField,ShortField,BitField,,,,,,,,,,,,,,,,,,,,,,,,
116,GeneticGenerated,ID:116,IntField,ShortField,ShortField,,,,,,,,,,,,,,,,,,,,,,,,,
117,GeneticGenerated,ID:117,ByteField,ByteField,IntField,XShortField,,,,,,,,,,,,,,,,,,,,,,,,
118,GeneticGenerated,ID:118,ByteEnumField,ByteField,ByteEnumField,,,,,,,,,,,,,,,,,,,,,,,,,
119,GeneticGenerated,ID:119,LenField,ShortEnumField,XIntField,ShortEnumField,XShortField,ShortField,ShortField,IntField,StrFixedLenField,IntEnumField,IntEnumField,ShortField,IntField,ShortField,XShortField,StrFixedLenField,ShortField,,,,,,,,,,,
120,GeneticGenerated,ID:120,ByteEnumField,FieldLenField,ByteEnumField,StrLenField,,,,,,,,,,,,,,,,,,,,,,,,
121,GeneticGenerated,ID:121,StrFixedLenField,ByteEnumField,,,,,,,,,,,,,,,,,,,,,,,,,,
122,GeneticGenerated,ID:122,IntEnumField,XIntField,,,,,,,,,,,,,,,,,,,,,,,,,,
123,GeneticGenerated,ID:123,ByteField,ShortField,ByteEnumField,,,,,,,,,,,,,,,,,,,,,,,,,
124,GeneticGenerated,ID:124,ByteEnumField,BitField,BitField,BitField,ByteEnumField,ShortField,BitField,BitField,BitField,,,,,,,,,,,,,,,,,,,
125,GeneticGenerated,ID:125,Field,Field,Field,Field,Field,Field,Field,Field,Field,Field,,,,,,,,,,,,,,,,,,
126,GeneticGenerated,ID:126,XStrLenField,ShortField,ByteField,XIntField,ByteEnumField,IntField,XStrLenField,,,,,,,,,,,,,,,,,,,,,
127,GeneticGenerated,ID:127,XShortField,ShortField,ShortEnumField,ShortEnumField,,,,,,,,,,,,,,,,,,,,,,,,
128,GeneticGenerated,ID:128,ByteEnumField,FieldLenField,XByteField,PadField,,,,,,,,,,,,,,,,,,,,,,,,
129,GeneticGenerated,ID:129,ShortField,ShortField,BitEnumField,BitField,StrLenField,ByteField,FieldLenField,,,,,,,,,,,,,,,,,,,,,
130,GeneticGenerated,ID:130,FieldLenField,ShortEnumField,XIntField,PadField,,,,,,,,,,,,,,,,,,,,,,,,
131,GeneticGenerated,ID:131,LenField,ShortEnumField,XIntField,ByteEnumField,XShortField,ShortEnumField,ShortField,ByteEnumField,ShortField,ShortField,ShortField,XShortField,,,,,,,,,,,,,,,,
132,GeneticGenerated,ID:132,LenField,ByteField,,,,,,,,,,,,,,,,,,,,,,,,,,
133,GeneticGenerated,ID:133,ByteField,ByteField,ShortField,BitField,BitField,,,,,,,,,,,,,,,,,,,,,,,
134,GeneticGenerated,ID:134,ShortField,XStrLenField,ShortField,,,,,,,,,,,,,,,,,,,,,,,,,
135,GeneticGenerated,ID:135,BitField,XBitField,BitField,,,,,,,,,,,,,,,,,,,,,,,,,
136,GeneticGenerated,ID:136,ByteEnumField,ByteField,IP6Field,ShortField,,,,,,,,,,,,,,,,,,,,,,,,
137,GeneticGenerated,ID:137,FieldLenField,PadField,EnumField,,,,,,,,,,,,,,,,,,,,,,,,,
138,GeneticGenerated,ID:138,ByteEnumField,XBitField,XBitField,XBitField,XBitField,XBitField,XBitField,,,,,,,,,,,,,,,,,,,,,
139,GeneticGenerated,ID:139,ShortField,ShortEnumField,XStrLenField,,,,,,,,,,,,,,,,,,,,,,,,,
140,GeneticGenerated,ID:140,ByteEnumField,XShortField,,,,,,,,,,,,,,,,,,,,,,,,,,
141,GeneticGenerated,ID:141,IP6Field,ByteField,ByteField,ByteEnumField,ByteField,,,,,,,,,,,,,,,,,,,,,,,
142,GeneticGenerated,ID:142,BitEnumField,XBitField,,,,,,,,,,,,,,,,,,,,,,,,,,
143,GeneticGenerated,ID:143,ShortField,ShortField,ShortEnumField,ByteField,ByteField,ByteField,,,,,,,,,,,,,,,,,,,,,,
144,GeneticGenerated,ID:144,StrFixedLenField,XByteField,,,,,,,,,,,,,,,,,,,,,,,,,,
145,GeneticGenerated,ID:145,BitField,BitField,BitField,BitField,BitField,,,,,,,,,,,,,,,,,,,,,,,
146,GeneticGenerated,ID:146,StrFixedLenField,XByteField,XByteField,XByteField,,,,,,,,,,,,,,,,,,,,,,,,
147,GeneticGenerated,ID:147,ShortEnumField,ShortField,ShortEnumField,XShortField,,,,,,,,,,,,,,,,,,,,,,,,
148,GeneticGenerated,ID:148,ByteField,ByteEnumField,MayEnd,,,,,,,,,,,,,,,,,,,,,,,,,
149,GeneticGenerated,ID:149,XIntField,ByteField,,,,,,,,,,,,,,,,,,,,,,,,,,
150,GeneticGenerated,ID:150,XIntField,BitField,ByteField,ByteField,BitField,BitField,BitField,XIntField,XIntField,IP6Field,ByteField,,,,,,,,,,,,,,,,,
151,GeneticGenerated,ID:151,LenField,ByteField,ByteField,MACField,,,,,,,,,,,,,,,,,,,,,,,,
152,GeneticGenerated,ID:152,BitField,ByteField,XShortField,ByteField,IntField,BitField,BitField,BitEnumField,ByteEnumField,BitField,BitField,ShortField,IntField,,,,,,,,,,,,,,,
153,GeneticGenerated,ID:153,ByteEnumField,StrLenField,FieldLenField,ByteEnumField,StrLenField,ByteEnumField,,,,,,,,,,,,,,,,,,,,,,
154,GeneticGenerated,ID:154,FlagsField,Field,FlagsField,SockAddrsField,Field,Field,PadField,Field,,,,,,,,,,,,,,,,,,,,
155,GeneticGenerated,ID:155,FieldListField,ByteField,FieldListField,FieldListField,FieldListField,FieldListField,,,,,,,,,,,,,,,,,,,,,,
156,GeneticGenerated,ID:156,IntField,ByteField,ByteField,ByteField,ByteField,IP6Field,,,,,,,,,,,,,,,,,,,,,,
157,GeneticGenerated,ID:157,XShortField,ByteEnumField,,,,,,,,,,,,,,,,,,,,,,,,,,
158,GeneticGenerated,ID:158,BitEnumField,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,GeneticGenerated,ID:159,ByteEnumField,XShortField,XShortField,ByteField,BitEnumField,XBitField,,,,,,,,,,,,,,,,,,,,,,
160,GeneticGenerated,ID:160,ShortEnumField,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,GeneticGenerated,ID:161,ByteEnumField,FlagsField,FlagsField,FlagsField,FlagsField,FlagsField,IntField,ShortField,FlagsField,ByteEnumField,,,,,,,,,,,,,,,,,,
162,GeneticGenerated,ID:162,XByteField,XShortField,StrField,,,,,,,,,,,,,,,,,,,,,,,,,
163,GeneticGenerated,ID:163,ByteField,ByteField,ShortField,ByteField,ByteField,ByteField,XShortField,ByteField,ShortField,,,,,,,,,,,,,,,,,,,
164,GeneticGenerated,ID:164,XShortField,ShortEnumField,ShortEnumField,XIntField,XShortField,ByteEnumField,ByteEnumField,LenField,,,,,,,,,,,,,,,,,,,,
165,GeneticGenerated,ID:165,IntField,ShortEnumField,ShortField,,,,,,,,,,,,,,,,,,,,,,,,,
166,GeneticGenerated,ID:166,FlagsField,FlagsField,ByteField,ShortField,XByteField,XBitField,,,,,,,,,,,,,,,,,,,,,,
167,GeneticGenerated,ID:167,LenField,XShortField,XIntField,XShortField,ByteEnumField,ByteEnumField,ShortEnumField,ShortEnumField,,,,,,,,,,,,,,,,,,,,
168,GeneticGenerated,ID:168,BitField,XIntField,ByteField,ByteField,ByteField,ByteField,ByteField,XShortField,XIntField,XIntField,XIntField,XIntField,BitField,XIntField,XIntField,,,,,,,,,,,,,
169,GeneticGenerated,ID:169,EnumField,Field,FlagsField,LenField,Field,,,,,,,,,,,,,,,,,,,,,,,
170,GeneticGenerated,ID:170,LenField,ShortEnumField,StrFixedLenField,ShortEnumField,StrFixedLenField,ShortField,ShortField,IntEnumField,IntField,ShortField,ShortField,XShortField,StrFixedLenField,XIntField,,,,,,,,,,,,,,
171,GeneticGenerated,ID:171,BitField,BitField,ByteEnumField,ShortField,XShortField,,,,,,,,,,,,,,,,,,,,,,,
172,GeneticGenerated,ID:172,Field,Field,Field,Field,Field,Field,Field,Field,Field,Field,,,,,,,,,,,,,,,,,,
173,GeneticGenerated,ID:173,PadField,FieldLenField,XShortField,,,,,,,,,,,,,,,,,,,,,,,,,
174,GeneticGenerated,ID:174,StrLenField,FieldLenField,ShortEnumField,ByteEnumField,,,,,,,,,,,,,,,,,,,,,,,,
175,GeneticGenerated,ID:175,ShortField,ShortField,UUIDField,,,,,,,,,,,,,,,,,,,,,,,,,
176,GeneticGenerated,ID:176,ShortField,ShortField,ByteEnumField,ShortField,IntField,,,,,,,,,,,,,,,,,,,,,,,
177,GeneticGenerated,ID:177,ByteEnumField,ShortField,BitField,XBitField,BitField,BitField,BitField,,,,,,,,,,,,,,,,,,,,,
178,GeneticGenerated,ID:178,ByteField,IntField,,,,,,,,,,,,,,,,,,,,,,,,,,
179,GeneticGenerated,ID:179,BitField,IntField,StrField,BitEnumField,,,,,,,,,,,,,,,,,,,,,,,,
180,GeneticGenerated,ID:180,LenField,XShortField,XIntField,ByteEnumField,ShortEnumField,ShortField,ByteEnumField,ShortEnumField,ShortField,XShortField,StrFixedLenField,,,,,,,,,,,,,,,,,
181,GeneticGenerated,ID:181,XShortField,BitField,BitField,BitField,BitField,BitField,BitField,ByteField,XShortField,BitField,ByteField,StrField,,,,,,,,,,,,,,,,
182,GeneticGenerated,ID:182,FlagsField,ShortField,ShortEnumField,,,,,,,,,,,,,,,,,,,,,,,,,
183,GeneticGenerated,ID:183,ByteEnumField,ByteField,ShortField,ShortField,,,,,,,,,,,,,,,,,,,,,,,,
184,GeneticGenerated,ID:184,XIntField,ShortEnumField,PadField,FieldLenField,,,,,,,,,,,,,,,,,,,,,,,,
185,GeneticGenerated,ID:185,FieldLenField,StrLenField,MayEnd,ShortEnumField,,,,,,,,,,,,,,,,,,,,,,,,
186,GeneticGenerated,ID:186,FlagsField,StrFixedLenField,XIntField,,,,,,,,,,,,,,,,,,,,,,,,,
187,GeneticGenerated,ID:187,ShortField,ByteField,ByteField,ByteField,ByteField,ShortField,ByteField,ByteField,XShortField,,,,,,,,,,,,,,,,,,,
188,GeneticGenerated,ID:188,IntField,EnumField,,,,,,,,,,,,,,,,,,,,,,,,,,
189,GeneticGenerated,ID:189,ByteField,ByteEnumField,StrLenField,ByteField,IntField,IntField,StrFixedLenField,ByteEnumField,,,,,,,,,,,,,,,,,,,,
190,GeneticGenerated,ID:190,StrField,ByteField,ByteEnumField,XShortField,XShortField,XShortField,,,,,,,,,,,,,,,,,,,,,,
191,GeneticGenerated,ID:191,XStrLenField,FieldLenField,FieldListField,FieldLenField,,,,,,,,,,,,,,,,,,,,,,,,
192,GeneticGenerated,ID:192,IntEnumField,ShortField,ShortEnumField,,,,,,,,,,,,,,,,,,,,,,,,,
193,GeneticGenerated,ID:193,BitField,XIntField,ByteField,ByteField,ByteField,ByteField,ByteField,XShortField,XIntField,XIntField,BitField,XIntField,XIntField,XIntField,XIntField,,,,,,,,,,,,,
194,GeneticGenerated,ID:194,ShortField,XShortField,XNBytesField,,,,,,,,,,,,,,,,,,,,,,,,,
195,GeneticGenerated,ID:195,StrLenField,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,GeneticGenerated,ID:196,FlagsField,FieldLenField,BitField,StrLenField,,,,,,,,,,,,,,,,,,,,,,,,
197,GeneticGenerated,ID:197,LenField,XIntField,ShortEnumField,ShortEnumField,XShortField,ShortField,XShortField,,,,,,,,,,,,,,,,,,,,,
198,GeneticGenerated,ID:198,ByteEnumField,IP6Field,FieldLenField,,,,,,,,,,,,,,,,,,,,,,,,,
199,GeneticGenerated,ID:199,ShortField,MACField,ShortField,,,,,,,,,,,,,,,,,,,,,,,,,
200,GeneticGenerated,ID:200,IntField,ByteField,ByteField,ByteField,IP6Field,ByteField,,,,,,,,,,,,,,,,,,,,,,
